Clave,Nombre,Etiqueta,Numero_instituciones,Preferencia,Año
S4,SE - CBT,03_2020,14501,03,2020
S5,SE - CECYTEM,03_2020,10166,03,2020
S7,SE - P.O. (1),03_2020,22752,03,2020
S8,SE - P.O. (2),03_2020,16314,03,2020
T3,UEMSTAyCM CMM,03_2020,136,03,2020
U6,UNAM,03_2020,125029,03,2020
A3,UEMSTAyCM CBTA,04_2020,755,04,2020
B0,Bachilleres,04_2020,23617,04,2020
C1,CONALEP,04_2020,10206,04,2020
D4,UEMSTIS,04_2020,23103,04,2020
G2,Dirección General del Bachillerato,04_2020,1055,04,2020
I5,IPN,04_2020,51254,04,2020
M9,UAEM,04_2020,684,04,2020
NO,Desconocido,04_2020,11325,04,2020
S0,SE - COBAEM,04_2020,4674,04,2020
S1,SE - CONALEP ESTADO DE MÉXICO,04_2020,11536,04,2020
S2,SE - TELEBACHILLERATO,04_2020,855,04,2020
S4,SE - CBT,04_2020,14322,04,2020
S5,SE - CECYTEM,04_2020,10131,04,2020
S7,SE - P.O. (1),04_2020,23952,04,2020
S8,SE - P.O. (2),04_2020,17054,04,2020
T3,UEMSTAyCM CMM,04_2020,160,04,2020
U6,UNAM,04_2020,98026,04,2020
A3,UEMSTAyCM CBTA,05_2020,801,05,2020
B0,Bachilleres,05_2020,28853,05,2020
C1,CONALEP,05_2020,11945,05,2020
D4,UEMSTIS,05_2020,25494,05,2020
G2,Dirección General del Bachillerato,05_2020,1365,05,2020
I5,IPN,05_2020,54115,05,2020
M9,UAEM,05_2020,486,05,2020
NO,Desconocido,05_2020,26135,05,2020
S0,SE - COBAEM,05_2020,4667,05,2020
S1,SE - CONALEP ESTADO DE MÉXICO,05_2020,11728,05,2020
S2,SE - TELEBACHILLERATO,05_2020,1086,05,2020
S4,SE - CBT,05_2020,13468,05,2020
S5,SE - CECYTEM,05_2020,9902,05,2020
S7,SE - P.O. (1),05_2020,23360,05,2020
S8,SE - P.O. (2),05_2020,17596,05,2020
T3,UEMSTAyCM CMM,05_2020,184,05,2020
U6,UNAM,05_2020,71524,05,2020
A3,UEMSTAyCM CBTA,06_2020,748,06,2020
B0,Bachilleres,06_2020,32437,06,2020
C1,CONALEP,06_2020,13230,06,2020
D4,UEMSTIS,06_2020,27003,06,2020
G2,Dirección General del Bachillerato,06_2020,1392,06,2020
I5,IPN,06_2020,49890,06,2020
M9,UAEM,06_2020,386,06,2020
NO,Desconocido,06_2020,54690,06,2020
S0,SE - COBAEM,06_2020,3904,06,2020
S1,SE - CONALEP ESTADO DE MÉXICO,06_2020,10519,06,2020
S2,SE - TELEBACHILLERATO,06_2020,987,06,2020
S4,SE - CBT,06_2020,11448,06,2020
S5,SE - CECYTEM,06_2020,8262,06,2020
S7,SE - P.O. (1),06_2020,20394,06,2020
S8,SE - P.O. (2),06_2020,15966,06,2020
T3,UEMSTAyCM CMM,06_2020,206,06,2020
U6,UNAM,06_2020,51247,06,2020
A3,UEMSTAyCM CBTA,07_2020,756,07,2020
B0,Bachilleres,07_2020,33024,07,2020
C1,CONALEP,07_2020,14358,07,2020
D4,UEMSTIS,07_2020,27770,07,2020
G2,Dirección General del Bachillerato,07_2020,1464,07,2020
I5,IPN,07_2020,43186,07,2020
M9,UAEM,07_2020,302,07,2020
NO,Desconocido,07_2020,81251,07,2020
S0,SE - COBAEM,07_2020,3310,07,2020
